,age,income,credit_score,existing_loans,employed,default,loan_amount,loan_tenure_months
283,27,11708,649,1,0,1,80500,30
284,67,96185,826,1,1,0,480925,36
285,25,21517,583,1,1,0,107585,30
286,40,66749,717,4,1,0,533992,30
287,49,28797,619,1,0,0,125500,12
288,45,73653,643,2,1,0,441918,30
289,34,15627,853,0,0,0,70932,12
290,39,66606,709,2,1,0,399636,36
291,36,26669,741,0,0,0,72889,30
292,34,48139,691,4,1,0,336973,24
293,52,145782,578,1,1,0,874692,18
294,46,118924,605,5,1,1,594620,18
295,33,49281,794,2,1,0,344967,12
296,52,29608,712,2,0,1,97526,12
297,45,72176,638,4,1,1,433056,24
298,51,107119,698,0,1,0,749833,36
299,49,104272,752,1,1,0,834176,18
300,32,60942,736,5,1,0,365652,18
301,35,62195,638,1,1,0,435365,24
302,50,172541,573,1,1,1,862705,36
303,49,109729,667,1,1,0,548645,12
304,41,66672,788,1,1,0,400032,18
305,43,68847,768,1,1,0,413082,30
306,57,20065,732,1,0,0,78363,18
307,34,47771,686,3,1,0,286626,18
308,48,155678,658,3,1,0,1089746,12
309,39,26222,687,1,0,1,74264,36
310,39,69486,762,2,1,0,486402,12
311,55,115457,780,3,1,0,808199,12
312,51,116635,679,3,1,0,583175,24
313,51,109442,900,1,1,1,875536,18
314,57,132342,707,2,1,1,926394,12
315,42,69026,672,3,1,0,483182,30
316,50,109536,818,5,1,0,876288,18
317,38,68037,536,2,1,0,340185,24
318,45,69360,738,5,1,1,554880,18
319,40,65270,694,2,1,0,456890,12
320,43,67364,815,4,1,0,538912,36
321,49,108863,748,2,1,0,653178,36
322,32,60279,711,2,1,0,482232,36
323,67,71011,753,1,1,1,355055,30
324,29,36798,615,2,1,1,183990,12
325,27,12191,777,1,0,0,51071,18
326,55,115313,592,1,1,0,576565,18
327,51,29505,728,0,0,0,109573,30
328,49,109930,702,2,1,0,879440,30
329,49,29193,558,5,0,1,122124,36
330,41,66648,705,3,1,0,533184,36
331,31,46323,722,1,1,0,324261,24
332,42,75837,647,2,1,0,455022,18
333,33,51541,619,2,1,1,309246,12
334,53,102529,739,2,1,0,717703,30
335,40,65248,728,3,1,0,521984,36
336,32,62352,718,5,1,0,498816,12
337,38,65980,700,3,1,0,461860,18
338,46,103842,654,3,1,0,623052,36
339,35,54772,881,3,1,0,383404,18
340,32,53693,676,1,1,0,322158,18
341,44,27857,630,2,0,1,108617,12
342,44,66687,704,2,1,0,533496,24
343,35,17380,685,0,0,0,88677,18
344,36,76290,674,2,1,0,534030,30
345,44,27527,849,3,0,0,126464,18
346,25,24774,609,2,1,1,148644,36
347,25,21642,702,1,1,0,151494,12
348,33,58223,614,2,1,0,349338,36
349,39,66044,656,1,1,0,330220,24
350,45,73353,838,2,1,0,513471,12
351,59,107257,722,0,1,0,643542,36
352,52,108650,721,0,1,0,760550,36
353,40,69922,624,4,1,0,419532,12
354,41,69537,666,3,1,1,417222,18
355,29,10036,845,0,0,0,58203,24
356,41,65019,739,0,1,0,455133,30
357,38,68837,672,3,1,1,344185,18
358,45,65241,735,2,1,0,456687,30
359,32,52575,721,4,1,0,368025,36
360,48,28764,632,4,0,1,92101,18
361,60,93430,670,1,1,0,373720,36
362,40,65272,880,0,1,0,456904,18
363,46,106467,731,3,1,0,745269,18
364,50,108280,574,3,1,1,649680,24
365,37,82723,740,1,1,0,579061,30
366,44,66445,804,1,1,0,398670,36
367,42,67197,627,4,1,0,403182,18
368,43,82118,663,2,1,0,410590,24
369,32,61933,816,1,1,0,495464,24
370,42,73318,702,1,1,0,439908,36
371,47,177629,688,1,1,0,888145,24
372,59,102966,593,3,1,0,617796,30
373,53,166963,785,1,1,0,1168741,12
374,67,70048,684,2,1,0,280192,18
375,32,47539,526,2,1,0,237695,18
376,52,104443,574,1,1,0,731101,12
377,44,27332,655,2,0,0,121181,12
378,68,70932,614,1,1,0,354660,30
379,32,50268,626,0,1,0,251340,24
380,31,55881,887,0,1,0,391167,18
381,34,48111,756,5,1,0,336777,36
382,25,28802,493,1,1,0,144010,18
383,35,20413,674,0,0,0,80473,30
384,32,54390,692,5,1,0,326340,24
385,43,69510,581,2,1,1,417060,36
386,46,166116,742,2,1,0,996696,36
387,64,9529,536,3,0,1,46594,24
388,53,111059,787,2,1,0,888472,18
389,35,52107,815,0,1,0,312642,18
390,31,57471,888,1,1,0,344826,18
391,47,103527,574,2,1,0,517635,24
392,26,32595,590,0,1,0,195570,24
393,63,9360,755,0,0,0,92293,30
394,56,112359,794,0,1,0,786513,18
395,36,66637,764,1,1,0,399822,12
396,25,14581,786,2,0,0,63395,24
397,58,21758,810,2,0,0,119529,30
398,40,65896,716,1,1,0,527168,30
399,56,107679,682,0,1,0,646074,12
400,25,20293,590,3,1,0,101465,30
401,34,24376,676,3,0,0,84633,24
402,42,65507,688,3,1,0,327535,18
403,42,75800,624,1,1,0,379000,12
404,36,71113,696,2,1,0,426678,12
405,49,146521,615,1,1,1,732605,12
406,29,39486,789,2,1,0,276402,36
407,40,79994,734,2,1,0,559958,36
408,43,67675,663,1,1,0,473725,30
409,48,155924,715,0,1,0,935544,30
410,50,141938,611,0,1,0,709690,24
411,28,32008,619,3,1,1,224056,18
412,25,27075,649,2,1,1,189525,30
413,57,138449,684,0,1,0,830694,30
414,45,73048,711,1,1,0,511336,24
415,33,17021,711,0,0,0,104602,12
416,60,72885,594,1,1,1,291540,12
417,43,67691,693,2,1,0,473837,36
418,56,126913,634,1,1,0,888391,18
419,42,65001,427,3,1,0,325005,24
420,66,74895,900,3,1,0,374475,36
421,63,92149,636,3,1,0,460745,30
422,39,69720,640,1,1,0,488040,36
423,53,117239,592,2,1,1,820673,30
424,49,28361,615,2,0,0,96062,24
425,58,131520,684,1,1,0,789120,18
426,30,37730,808,1,1,0,226380,18
427,50,167564,684,0,1,0,1005384,30
428,54,118685,674,1,1,0,830795,12
429,25,28814,796,0,1,0,201698,12
430,27,31211,658,1,1,1,187266,30
431,25,24190,701,0,1,0,193520,36
432,38,67835,626,3,1,0,407010,36
433,50,146534,834,3,1,0,1025738,18
434,60,94930,783,3,1,1,474650,18
435,42,65617,687,1,1,0,393702,12
436,61,74155,668,0,1,0,296620,18
437,25,23897,697,2,1,0,143382,36
438,25,23812,688,2,1,0,166684,18
439,41,68765,576,1,1,0,412590,36
440,46,118337,786,2,1,0,710022,30
441,41,27541,681,1,0,1,110435,36
442,25,12790,851,5,0,0,71899,18
443,40,68472,733,0,1,0,410832,36
444,26,34283,498,0,1,0,205698,30
445,50,170390,597,1,1,0,1192730,18
446,46,111002,528,3,1,1,555010,30
447,30,13133,596,1,0,0,103699,12
448,35,51267,569,2,1,0,307602,18
449,29,39074,720,3,1,1,312592,36
450,41,69177,674,1,1,0,415062,30
451,53,112116,759,2,1,0,672696,18
452,30,10344,696,1,0,1,78789,36
453,48,29123,680,2,0,0,101035,18
454,35,54671,860,5,1,0,382697,24
455,32,50946,717,0,1,0,356622,18
456,40,69580,693,2,1,0,417480,30
457,29,39419,631,3,1,0,236514,18
458,35,21242,605,0,0,0,65225,30
459,27,31448,761,1,1,0,220136,12
460,65,72995,756,4,1,0,364975,30
461,42,68451,825,1,1,0,547608,12
462,33,60244,738,2,1,0,361464,18
463,44,69880,668,3,1,0,419280,12
464,40,65310,740,1,1,0,391860,24
465,39,67954,693,1,1,0,339770,36
466,49,100190,769,1,1,0,701330,30
467,51,171920,806,1,1,0,1031520,18
468,35,48501,686,2,1,0,291006,36
469,35,53210,840,2,1,0,319260,30
470,38,26038,795,0,0,0,80729,30
471,25,12694,701,3,0,1,60991,12
472,25,28117,753,4,1,1,168702,18
473,58,133583,724,2,1,0,935081,24
474,61,80288,701,1,1,0,481728,24
475,39,66040,853,0,1,0,528320,18
476,48,28082,741,1,0,0,114364,36
477,45,66739,632,5,1,0,400434,36
478,70,85870,617,1,1,0,343480,18
479,55,170755,621,2,1,0,1195285,18
480,40,65590,739,2,1,0,459130,36
481,30,14847,672,1,0,1,64091,36
482,25,21113,726,3,1,1,147791,30
483,44,67578,774,3,1,0,473046,18
484,32,50892,862,3,1,1,305352,18
485,25,25732,674,2,1,0,154392,18
486,34,60754,587,5,1,0,364524,30
487,29,38910,843,2,1,0,311280,24
488,62,74981,583,1,1,0,374905,12
489,52,29529,580,0,0,0,120434,18
490,41,74974,841,1,1,0,524818,18
491,59,109419,785,2,1,0,656514,24
492,42,67464,738,1,1,0,472248,12
493,31,53997,696,3,1,0,269985,12
494,60,9700,680,0,0,0,59578,12
495,48,178064,647,1,1,0,1246448,18
496,29,10486,677,1,0,0,86410,24
497,39,66359,696,1,1,0,331795,12
498,31,20411,590,2,0,1,69688,36
499,25,22541,634,2,1,0,157787,12
500,53,102016,531,1,1,0,612096,12
501,64,73053,706,1,1,1,438318,12
502,25,24307,706,1,1,0,170149,36
503,48,174004,842,1,1,0,1218028,24
504,34,59737,730,1,1,0,418159,30
505,36,65343,655,4,1,0,392058,24
506,34,16555,683,0,0,0,100462,18
507,31,62783,738,1,1,0,376698,24
508,42,27402,718,2,0,1,119148,12
509,32,51586,746,2,1,0,412688,12
510,45,83811,730,1,1,0,670488,12
511,41,77584,679,3,1,0,387920,24
512,39,26787,657,1,0,0,105688,24
513,31,50397,652,3,1,0,352779,24
514,35,61452,625,1,1,0,430164,30
515,51,159126,613,0,1,0,795630,18
516,48,112905,847,2,1,0,903240,24
517,30,13564,709,4,0,0,68021,24
518,43,68393,687,5,1,0,410358,24
519,51,106669,660,2,1,0,640014,18
520,25,32930,734,2,1,0,230510,36
521,48,150839,796,0,1,0,905034,24
522,34,53336,757,0,1,0,320016,12
523,48,105153,773,3,1,0,736071,18
524,32,58911,653,3,1,0,412377,12
525,25,29351,699,2,1,0,146755,24
526,25,32277,654,1,1,0,193662,12
527,42,67128,708,3,1,1,469896,36
528,45,27997,801,2,0,0,117726,36
529,31,55111,735,3,1,0,440888,36
530,49,166178,830,1,1,0,1329424,36
531,25,33418,676,3,1,0,233926,18
532,41,67534,635,4,1,0,405204,12
533,27,31768,740,2,1,0,222376,24
534,34,45115,709,1,1,0,315805,18
535,42,26420,725,1,0,0,124427,18
536,31,59588,713,0,1,0,357528,12
537,37,66092,661,3,1,0,462644,24
538,54,118902,715,5,1,0,832314,30
539,35,59946,777,3,1,1,359676,24
540,52,164194,786,0,1,0,1313552,24
541,28,33979,660,0,1,0,169895,24
542,48,148541,718,3,1,0,1188328,36
543,59,122476,818,2,1,0,857332,12
544,25,30266,662,0,1,0,181596,12
545,32,62953,648,1,1,1,377718,36
546,48,115442,763,1,1,0,808094,12
547,39,65105,749,3,1,0,455735,12
548,46,161523,633,5,1,0,969138,12
549,34,47406,588,3,1,0,237030,12
550,43,65121,716,3,1,0,390726,12
551,40,73947,666,1,1,0,369735,36
552,56,133129,565,1,1,0,665645,30
553,45,26204,645,2,0,0,126014,24
554,46,102732,748,1,1,0,719124,36
555,37,75586,687,2,1,0,453516,36
556,36,72150,825,2,1,0,577200,30
557,36,83606,533,1,1,0,418030,12
558,46,168105,807,5,1,1,1344840,12
559,36,26889,672,1,0,0,75183,18
560,45,68383,660,1,1,0,478681,36
561,66,72610,575,4,1,0,290440,12
562,52,164218,737,1,1,0,1313744,12
563,38,66233,553,0,1,0,463631,18
564,56,115560,765,1,1,0,924480,18
565,37,65276,578,3,1,1,326380,18
566,25,34106,591,5,1,0,238742,12
567,29,12190,604,5,0,1,52123,36
568,25,20482,642,2,1,0,143374,24
569,37,65798,775,4,1,0,526384,12
570,42,68460,820,1,1,0,479220,18
571,62,95305,650,3,1,0,381220,18
572,45,74645,696,3,1,0,373225,36
573,39,84042,739,2,1,0,672336,24
574,51,103032,673,2,1,0,721224,18
575,25,25493,736,1,1,0,203944,18
576,44,74054,699,4,1,0,444324,30
577,51,28822,679,3,0,0,104206,12
578,25,24575,586,1,1,0,172025,18
579,55,175683,711,2,1,0,1229781,24
580,46,109472,776,1,1,0,875776,18
581,37,66989,637,1,1,0,334945,12
582,49,165029,542,0,1,0,825145,12
583,69,92301,674,2,1,0,461505,24
584,44,69491,820,1,1,0,486437,12
585,44,70403,796,1,1,0,563224,36
586,36,81754,653,0,1,0,572278,24
587,31,62165,736,1,1,0,435155,30
588,51,103199,749,0,1,0,619194,24
589,31,45616,819,3,1,0,364928,30
590,42,65349,575,2,1,1,326745,24
591,36,68012,614,0,1,0,340060,30
592,47,154487,539,1,1,1,772435,18
593,46,100822,645,2,1,0,604932,12
594,54,142799,785,2,1,0,856794,12
595,35,62562,655,2,1,0,437934,30
596,38,26708,595,5,0,0,112419,12
597,30,39231,718,3,1,1,235386,24
598,36,27505,720,3,0,1,77790,36
599,46,110713,618,5,1,0,774991,12
600,51,175463,659,1,1,0,1228241,30
601,30,33997,712,0,1,0,237979,30
602,52,172669,759,0,1,0,1381352,30
603,58,115127,648,5,1,0,690762,30
604,46,153062,636,1,1,1,918372,18
605,64,92816,853,1,1,0,556896,30
606,32,52512,678,2,1,0,315072,12
607,27,32910,719,2,1,0,197460,24
608,25,25952,751,2,1,0,155712,36
609,59,108205,557,3,1,0,541025,24
610,49,101640,698,3,1,0,711480,24
611,41,26977,568,1,0,0,83141,36
612,45,69099,689,1,1,0,345495,30
613,28,21961,809,3,1,0,153727,24
614,70,99654,620,1,1,0,498270,30
615,43,75366,566,1,1,0,452196,36
616,43,79492,851,2,1,0,476952,30
617,50,173341,608,4,1,0,866705,24
618,47,105968,580,2,1,0,635808,12
619,44,69173,829,0,1,0,484211,36
620,32,46084,605,4,1,0,230420,36
621,47,117994,831,4,1,1,943952,36
622,64,71019,721,2,1,0,355095,18
623,58,108526,802,1,1,0,759682,30
624,61,10560,714,5,0,1,99020,18
625,35,49499,786,3,1,0,296994,36
626,30,14932,626,0,0,0,70093,24
627,40,80470,650,2,1,1,563290,30
628,42,77826,530,2,1,1,466956,24
629,55,146492,777,2,1,0,878952,12
630,25,32301,733,3,1,1,258408,18
631,60,70978,619,3,1,0,354890,12
632,40,65294,560,1,1,0,326470,12
633,36,75726,722,3,1,0,530082,30
634,29,37263,834,1,1,0,223578,18
635,25,33464,688,3,1,1,234248,30
636,51,28119,647,1,0,0,128970,36
637,42,69767,625,0,1,0,488369,30
638,26,10635,799,3,0,1,74788,12
639,26,22793,637,1,1,1,113965,36
640,37,67767,670,5,1,0,406602,30
641,62,98111,783,0,1,0,490555,24
642,38,68711,750,3,1,0,480977,30
643,25,32333,673,3,1,0,226331,24
644,39,75196,644,2,1,0,375980,18
645,38,65178,817,2,1,0,456246,30
646,25,24018,610,2,1,0,168126,36
647,41,77276,683,2,1,0,540932,30
648,39,66314,579,1,1,1,397884,12
649,50,103322,795,1,1,0,826576,12
650,64,71611,662,4,1,1,358055,12
651,55,28567,644,0,0,0,98160,30
652,38,67587,752,4,1,0,405522,18
653,28,31197,585,3,1,0,187182,12
654,70,72592,750,1,1,0,435552,12
655,42,65173,671,1,1,0,325865,36
656,42,79669,603,4,1,0,398345,12
657,41,83551,620,4,1,0,417755,12
658,44,66136,645,2,1,0,462952,18
659,40,68241,664,0,1,0,341205,30
660,35,17637,604,0,0,0,108992,18
661,35,61385,723,0,1,0,491080,12
662,41,68659,602,1,1,0,411954,36
663,35,57488,510,0,1,0,287440,12
664,33,50725,853,1,1,0,405800,12
665,43,26120,715,3,0,0,129980,36
666,38,84284,860,1,1,0,674272,30
667,60,71746,616,3,1,1,286984,18
668,25,13464,738,2,0,0,40309,30
669,55,142577,771,4,1,0,855462,12
670,56,100273,684,5,1,0,601638,18
671,25,32079,584,1,1,0,160395,24
672,37,83303,678,2,1,0,499818,36
673,37,78789,750,0,1,0,472734,24
674,25,10647,747,2,0,0,61055,36
675,32,53832,699,0,1,0,376824,24
676,28,12674,771,2,0,0,76633,12
677,63,72368,768,2,1,0,434208,12
678,53,116512,658,0,1,0,815584,18
679,57,109157,578,3,1,0,764099,12
680,50,161589,715,2,1,0,969534,36
681,28,32727,640,1,1,0,196362,24
682,35,45080,711,3,1,0,270480,18
683,47,106705,807,0,1,0,746935,36
684,27,23048,734,4,1,0,184384,24
685,50,29147,803,1,0,0,134968,24
686,39,65255,619,0,1,0,456785,30
687,37,65452,786,5,1,1,392712,18
688,50,148836,834,5,1,0,1041852,12
689,47,152701,705,2,1,0,1221608,36
690,37,27048,885,1,0,1,82548,36
691,55,110442,631,1,1,0,773094,18
692,29,38320,648,0,1,0,191600,12
693,49,146697,751,2,1,0,1026879,30
