age,income,credit_score,existing_loans,employed,default,loan_amount,loan_tenure_months
46,172151,865,2,1,0,1377208,36
34,61604,706,2,1,1,492832,36
46,167726,700,2,1,0,1341808,36
60,88864,770,1,1,0,533184,36
41,80749,699,0,1,0,403745,36
60,74991,789,3,1,0,374955,36
25,29190,670,1,1,0,204330,36
51,28178,662,0,0,0,124134,36
43,67132,621,2,1,0,469924,36
38,65658,848,3,1,0,459606,36
43,67875,694,1,1,1,339375,36
25,31852,606,5,1,0,191112,36
39,66210,715,1,1,0,463470,36
46,111011,647,0,1,0,777077,36
59,104928,668,3,1,1,734496,36
35,17965,724,0,0,0,99329,36
32,62153,821,2,1,1,497224,36
35,50413,708,0,1,0,302478,36
52,119522,643,4,1,0,597610,36
45,74462,659,1,1,0,372310,36
35,47411,752,3,1,0,331877,36
48,118310,543,0,1,0,591550,36
43,65754,616,1,1,1,394524,36
53,106793,717,2,1,0,640758,36
33,56198,563,2,1,1,393386,36
38,66052,674,2,1,0,462364,36
37,69862,661,0,1,0,419172,36
25,14191,770,1,0,1,67635,36
45,65197,679,4,1,0,325985,36
45,67874,794,1,1,0,542992,36
42,70134,706,2,1,0,420804,36
39,68512,842,5,1,0,479584,36
25,21313,589,2,1,1,149191,36
36,67646,829,5,1,0,541168,36
37,66710,667,4,1,1,333550,36
32,16416,817,3,0,0,73468,36
40,76496,794,2,1,0,611968,36
46,29031,471,1,0,1,79289,36
64,13086,738,1,0,0,97949,36
44,82899,779,3,1,0,663192,36
45,67599,806,3,1,1,540792,36
41,65701,605,1,1,0,328505,36
25,34358,747,4,1,0,206148,36
41,72009,715,2,1,0,432054,36
42,67079,734,5,1,1,536632,36
70,73513,779,5,1,1,367565,36
39,71455,792,1,1,0,428730,36
45,27814,647,2,0,0,106901,36
41,27447,721,1,0,0,147781,36
27,27328,703,2,1,0,191296,36
55,28857,680,2,0,1,107388,36
51,100765,688,0,1,0,705355,36
51,106879,715,2,1,1,748153,36
31,52412,651,0,1,0,366884,36
58,122838,770,5,1,0,737028,36
25,24242,801,2,1,1,145452,36
49,173316,634,0,1,0,1039896,36
68,96359,805,1,1,0,481795,36
30,33615,634,3,1,0,168075,36
35,19492,771,3,0,1,75761,36
43,26828,805,2,0,0,123610,36
35,57055,692,3,1,0,285275,36
25,27715,635,3,1,0,138575,36
42,79430,652,1,1,0,476580,36
29,35724,728,0,1,0,250068,36
47,112537,857,2,1,0,675222,36
30,37331,564,3,1,1,223986,36
60,13841,708,0,0,0,77571,36
32,52802,692,3,1,0,369614,36
38,67702,663,1,1,0,338510,36
51,114377,693,2,1,0,571885,36
27,31389,656,0,1,0,188334,36
44,65180,799,2,1,0,391080,36
57,108845,807,3,1,0,761915,36
25,23927,707,2,1,0,167489,36
44,70128,688,0,1,0,350640,36
45,65750,660,1,1,0,328750,36
51,161924,707,2,1,0,1133468,36
27,26866,847,0,1,0,214928,36
26,23018,691,3,1,0,161126,36
48,29199,632,0,0,0,82576,36
45,68498,668,1,1,0,479486,36
45,78809,760,3,1,0,472854,36
46,177411,642,2,1,0,1064466,36
33,47544,697,1,1,0,237720,36
44,80741,737,1,1,0,645928,36
45,84225,648,0,1,0,589575,36
33,52601,558,3,1,0,315606,36
64,91583,614,2,1,0,457915,36
47,115863,631,1,1,1,811041,36
27,25023,681,3,1,0,125115,36
49,150392,703,1,1,1,902352,36
30,36691,765,1,1,0,293528,36
51,142340,601,2,1,0,854040,36
55,107895,754,5,1,0,647370,36
32,46889,670,1,1,0,234445,36
53,111769,557,2,1,0,782383,36
46,156380,701,4,1,0,1251040,36
51,146210,805,3,1,0,1169680,36
64,70825,770,3,1,1,424950,36
39,73089,693,0,1,0,365445,36
32,60945,790,3,1,1,365670,36
31,57777,715,0,1,0,346662,36
32,46138,778,1,1,0,322966,36
41,27886,567,2,0,1,119973,36
46,28872,600,3,0,1,121148,36
45,67468,758,3,1,0,472276,36
51,141108,823,1,1,0,846648,36
42,72617,733,2,1,0,580936,36
59,132039,660,5,1,1,792234,36
38,68547,631,0,1,0,342735,36
70,72638,674,1,1,0,290552,36
49,162677,797,0,1,0,1138739,36
31,46697,672,5,1,0,280182,36
29,36449,783,2,1,0,255143,36
47,179905,752,2,1,0,1259335,36
39,66545,837,1,1,0,399270,36
50,108260,716,0,1,0,866080,36
47,29594,696,3,0,0,86226,36
41,67086,787,3,1,0,402516,36
31,54828,625,2,1,0,383796,36
25,27007,664,2,1,0,189049,36
36,26624,565,4,0,0,110786,36
52,111990,599,2,1,0,671940,36
44,77580,853,2,1,0,465480,36
27,11744,755,2,0,0,77921,36
44,69500,590,1,1,0,347500,36
46,171762,795,0,1,0,1202334,36
31,48351,643,1,1,0,241755,36
43,69800,751,3,1,0,488600,36
42,75292,750,3,1,0,527044,36
28,30015,833,4,1,1,180090,36
46,149283,656,3,1,1,1044981,36
48,29957,640,1,0,0,102860,36
54,104257,484,2,1,0,625542,36
54,109003,690,3,1,0,545015,36
25,31343,758,1,1,0,188058,36
30,36701,768,0,1,0,256907,36
48,109222,800,3,1,0,655332,36
48,111057,723,1,1,0,777399,36
48,148040,740,1,1,0,888240,36
70,14304,705,1,0,1,92926,36
48,106427,756,0,1,0,638562,36
55,113177,625,1,1,0,565885,36
53,107940,587,2,1,0,539700,36
49,178905,633,4,1,0,894525,36
38,68719,717,1,1,0,549752,36
51,112534,595,2,1,0,675204,36
32,55732,649,2,1,0,390124,36
39,67712,651,0,1,0,473984,36
36,82743,762,1,1,0,579201,36
42,65390,752,0,1,0,523120,36
69,71250,705,3,1,0,356250,36
25,30018,736,5,1,0,180108,36
50,153733,737,3,1,0,1229864,36
25,20017,670,0,1,0,100085,36
36,80353,656,0,1,0,482118,36
55,111308,822,1,1,0,667848,36
42,67869,500,1,1,0,407214,36
29,39951,640,1,1,1,199755,36
33,60091,683,1,1,0,360546,36
50,144091,744,3,1,0,1152728,36
33,47997,790,1,1,0,335979,36
44,67493,848,1,1,0,404958,36
42,67302,692,2,1,1,403812,36
34,50761,698,2,1,0,253805,36
67,72102,729,2,1,0,360510,36
49,119085,657,3,1,0,714510,36
25,26387,605,1,1,0,158322,36
44,67852,692,0,1,0,407112,36
34,59287,759,3,1,0,415009,36
52,110584,680,4,1,0,552920,36
32,19227,733,4,0,0,70616,36
40,66237,550,1,1,0,397422,36
48,170376,701,5,1,0,1363008,36
52,115856,667,1,1,0,695136,36
27,25790,597,2,1,0,128950,36
37,68837,752,5,1,0,413022,36
36,67183,847,3,1,0,470281,36
34,23920,779,5,0,0,64306,36
63,72958,784,2,1,0,437748,36
46,101896,756,4,1,0,713272,36
26,20763,751,3,1,0,124578,36
53,119470,556,3,1,0,716820,36
67,93159,689,1,1,0,465795,36
54,107743,740,1,1,0,861944,36
25,29344,742,0,1,0,205408,36
36,68081,801,2,1,0,476567,36
57,125593,617,1,1,0,627965,36
33,54492,748,1,1,1,381444,36
47,117798,614,3,1,1,824586,36
51,163698,683,1,1,0,1145886,36
30,34285,695,3,1,0,171425,36
41,67984,769,2,1,0,543872,36
25,30476,759,3,1,0,213332,36
29,36821,709,2,1,0,220926,36
38,70617,527,2,1,0,353085,36
27,32450,735,3,1,0,227150,36
61,71841,678,2,1,0,287364,36
25,20296,811,1,1,1,121776,36
36,66407,792,2,1,0,464849,36
43,68823,624,2,1,0,481761,36
59,123923,746,0,1,0,743538,36
25,26430,748,0,1,0,158580,36
55,105662,742,2,1,0,845296,36
42,71415,731,4,1,0,571320,36
30,14837,750,2,0,1,75783,36
47,28870,820,2,0,1,123116,36
44,65412,655,4,1,0,457884,36
34,52118,627,2,1,0,364826,36
42,26795,762,3,0,0,87739,36
37,70372,549,2,1,0,422232,36
43,27833,752,2,0,0,101454,36
49,178584,738,0,1,0,1250088,36
61,86916,512,3,1,1,347664,36
27,11708,649,1,0,1,80500,36
67,96185,826,1,1,0,480925,36
25,21517,583,1,1,0,107585,36
40,66749,717,4,1,0,533992,36
49,28797,619,1,0,0,125500,36
45,73653,643,2,1,0,441918,36
34,15627,853,0,0,0,70932,36
39,66606,709,2,1,0,399636,36
36,26669,741,0,0,0,72889,36
34,48139,691,4,1,0,336973,36
52,145782,578,1,1,0,874692,36
46,118924,605,5,1,1,594620,36
33,49281,794,2,1,0,344967,36
52,29608,712,2,0,1,97526,36
45,72176,638,4,1,1,433056,36
51,107119,698,0,1,0,749833,36
49,104272,752,1,1,0,834176,36
32,60942,736,5,1,0,365652,36
35,62195,638,1,1,0,435365,36
50,172541,573,1,1,1,862705,36
49,109729,667,1,1,0,548645,36
41,66672,788,1,1,0,400032,36
43,68847,768,1,1,0,413082,36
57,20065,732,1,0,0,78363,36
34,47771,686,3,1,0,286626,36
48,155678,658,3,1,0,1089746,36
39,26222,687,1,0,1,74264,36
39,69486,762,2,1,0,486402,36
55,115457,780,3,1,0,808199,36
51,116635,679,3,1,0,583175,36
51,109442,900,1,1,1,875536,36
57,132342,707,2,1,1,926394,36
42,69026,672,3,1,0,483182,36
50,109536,818,5,1,0,876288,36
38,68037,536,2,1,0,340185,36
45,69360,738,5,1,1,554880,36
40,65270,694,2,1,0,456890,36
43,67364,815,4,1,0,538912,36
49,108863,748,2,1,0,653178,36
32,60279,711,2,1,0,482232,36
67,71011,753,1,1,1,355055,36
29,36798,615,2,1,1,183990,36
27,12191,777,1,0,0,51071,36
55,115313,592,1,1,0,576565,36
51,29505,728,0,0,0,109573,36
49,109930,702,2,1,0,879440,36
49,29193,558,5,0,1,122124,36
41,66648,705,3,1,0,533184,36
31,46323,722,1,1,0,324261,36
42,75837,647,2,1,0,455022,36
33,51541,619,2,1,1,309246,36
53,102529,739,2,1,0,717703,36
40,65248,728,3,1,0,521984,36
32,62352,718,5,1,0,498816,36
38,65980,700,3,1,0,461860,36
46,103842,654,3,1,0,623052,36
35,54772,881,3,1,0,383404,36
32,53693,676,1,1,0,322158,36
44,27857,630,2,0,1,108617,36
44,66687,704,2,1,0,533496,36
35,17380,685,0,0,0,88677,36
36,76290,674,2,1,0,534030,36
44,27527,849,3,0,0,126464,36
25,24774,609,2,1,1,148644,36
25,21642,702,1,1,0,151494,36
33,58223,614,2,1,0,349338,36
39,66044,656,1,1,0,330220,36
45,73353,838,2,1,0,513471,36
59,107257,722,0,1,0,643542,36
52,108650,721,0,1,0,760550,36
40,69922,624,4,1,0,419532,36
41,69537,666,3,1,1,417222,36
29,10036,845,0,0,0,58203,36
41,65019,739,0,1,0,455133,36
38,68837,672,3,1,1,344185,36
45,65241,735,2,1,0,456687,36
32,52575,721,4,1,0,368025,36
48,28764,632,4,0,1,92101,36
60,93430,670,1,1,0,373720,36
40,65272,880,0,1,0,456904,36
46,106467,731,3,1,0,745269,36
50,108280,574,3,1,1,649680,36
37,82723,740,1,1,0,579061,36
44,66445,804,1,1,0,398670,36
42,67197,627,4,1,0,403182,36
43,82118,663,2,1,0,410590,36
32,61933,816,1,1,0,495464,36
42,73318,702,1,1,0,439908,36
47,177629,688,1,1,0,888145,36
59,102966,593,3,1,0,617796,36
53,166963,785,1,1,0,1168741,36
67,70048,684,2,1,0,280192,36
32,47539,526,2,1,0,237695,36
52,104443,574,1,1,0,731101,36
44,27332,655,2,0,0,121181,36
68,70932,614,1,1,0,354660,36
32,50268,626,0,1,0,251340,36
31,55881,887,0,1,0,391167,36
34,48111,756,5,1,0,336777,36
25,28802,493,1,1,0,144010,36
35,20413,674,0,0,0,80473,36
32,54390,692,5,1,0,326340,36
43,69510,581,2,1,1,417060,36
46,166116,742,2,1,0,996696,36
64,9529,536,3,0,1,46594,36
53,111059,787,2,1,0,888472,36
35,52107,815,0,1,0,312642,36
31,57471,888,1,1,0,344826,36
47,103527,574,2,1,0,517635,36
26,32595,590,0,1,0,195570,36
63,9360,755,0,0,0,92293,36
56,112359,794,0,1,0,786513,36
36,66637,764,1,1,0,399822,36
25,14581,786,2,0,0,63395,36
58,21758,810,2,0,0,119529,36
40,65896,716,1,1,0,527168,36
56,107679,682,0,1,0,646074,36
25,20293,590,3,1,0,101465,36
34,24376,676,3,0,0,84633,36
42,65507,688,3,1,0,327535,36
42,75800,624,1,1,0,379000,36
36,71113,696,2,1,0,426678,36
49,146521,615,1,1,1,732605,36
29,39486,789,2,1,0,276402,36
40,79994,734,2,1,0,559958,36
43,67675,663,1,1,0,473725,36
48,155924,715,0,1,0,935544,36
50,141938,611,0,1,0,709690,36
28,32008,619,3,1,1,224056,36
25,27075,649,2,1,1,189525,36
57,138449,684,0,1,0,830694,36
45,73048,711,1,1,0,511336,36
33,17021,711,0,0,0,104602,36
60,72885,594,1,1,1,291540,36
43,67691,693,2,1,0,473837,36
56,126913,634,1,1,0,888391,36
42,65001,427,3,1,0,325005,36
66,74895,900,3,1,0,374475,36
63,92149,636,3,1,0,460745,36
39,69720,640,1,1,0,488040,36
53,117239,592,2,1,1,820673,36
49,28361,615,2,0,0,96062,36
58,131520,684,1,1,0,789120,36
30,37730,808,1,1,0,226380,36
50,167564,684,0,1,0,1005384,36
54,118685,674,1,1,0,830795,36
25,28814,796,0,1,0,201698,36
27,31211,658,1,1,1,187266,36
25,24190,701,0,1,0,193520,36
38,67835,626,3,1,0,407010,36
50,146534,834,3,1,0,1025738,36
60,94930,783,3,1,1,474650,36
42,65617,687,1,1,0,393702,36
61,74155,668,0,1,0,296620,36
25,23897,697,2,1,0,143382,36
25,23812,688,2,1,0,166684,36
41,68765,576,1,1,0,412590,36
46,118337,786,2,1,0,710022,36
41,27541,681,1,0,1,110435,36
25,12790,851,5,0,0,71899,36
40,68472,733,0,1,0,410832,36
26,34283,498,0,1,0,205698,36
50,170390,597,1,1,0,1192730,36
46,111002,528,3,1,1,555010,36
30,13133,596,1,0,0,103699,36
35,51267,569,2,1,0,307602,36
29,39074,720,3,1,1,312592,36
41,69177,674,1,1,0,415062,36
53,112116,759,2,1,0,672696,36
30,10344,696,1,0,1,78789,36
48,29123,680,2,0,0,101035,36
35,54671,860,5,1,0,382697,36
32,50946,717,0,1,0,356622,36
40,69580,693,2,1,0,417480,36
29,39419,631,3,1,0,236514,36
35,21242,605,0,0,0,65225,36
27,31448,761,1,1,0,220136,36
65,72995,756,4,1,0,364975,36
42,68451,825,1,1,0,547608,36
33,60244,738,2,1,0,361464,36
44,69880,668,3,1,0,419280,36
40,65310,740,1,1,0,391860,36
39,67954,693,1,1,0,339770,36
49,100190,769,1,1,0,701330,36
51,171920,806,1,1,0,1031520,36
35,48501,686,2,1,0,291006,36
35,53210,840,2,1,0,319260,36
38,26038,795,0,0,0,80729,36
25,12694,701,3,0,1,60991,36
25,28117,753,4,1,1,168702,36
58,133583,724,2,1,0,935081,36
61,80288,701,1,1,0,481728,36
39,66040,853,0,1,0,528320,36
48,28082,741,1,0,0,114364,36
45,66739,632,5,1,0,400434,36
70,85870,617,1,1,0,343480,36
55,170755,621,2,1,0,1195285,36
40,65590,739,2,1,0,459130,36
30,14847,672,1,0,1,64091,36
25,21113,726,3,1,1,147791,36
44,67578,774,3,1,0,473046,36
32,50892,862,3,1,1,305352,36
25,25732,674,2,1,0,154392,36
34,60754,587,5,1,0,364524,36
29,38910,843,2,1,0,311280,36
62,74981,583,1,1,0,374905,36
52,29529,580,0,0,0,120434,36
41,74974,841,1,1,0,524818,36
59,109419,785,2,1,0,656514,36
42,67464,738,1,1,0,472248,36
31,53997,696,3,1,0,269985,36
60,9700,680,0,0,0,59578,36
48,178064,647,1,1,0,1246448,36
29,10486,677,1,0,0,86410,36
39,66359,696,1,1,0,331795,36
31,20411,590,2,0,1,69688,36
25,22541,634,2,1,0,157787,36
53,102016,531,1,1,0,612096,36
64,73053,706,1,1,1,438318,36
25,24307,706,1,1,0,170149,36
48,174004,842,1,1,0,1218028,36
34,59737,730,1,1,0,418159,36
36,65343,655,4,1,0,392058,36
34,16555,683,0,0,0,100462,36
31,62783,738,1,1,0,376698,36
42,27402,718,2,0,1,119148,36
32,51586,746,2,1,0,412688,36
45,83811,730,1,1,0,670488,36
41,77584,679,3,1,0,387920,36
39,26787,657,1,0,0,105688,36
31,50397,652,3,1,0,352779,36
35,61452,625,1,1,0,430164,36
51,159126,613,0,1,0,795630,36
48,112905,847,2,1,0,903240,36
30,13564,709,4,0,0,68021,36
43,68393,687,5,1,0,410358,36
51,106669,660,2,1,0,640014,36
25,32930,734,2,1,0,230510,36
48,150839,796,0,1,0,905034,36
34,53336,757,0,1,0,320016,36
48,105153,773,3,1,0,736071,36
32,58911,653,3,1,0,412377,36
25,29351,699,2,1,0,146755,36
25,32277,654,1,1,0,193662,36
42,67128,708,3,1,1,469896,36
45,27997,801,2,0,0,117726,36
31,55111,735,3,1,0,440888,36
49,166178,830,1,1,0,1329424,36
25,33418,676,3,1,0,233926,36
41,67534,635,4,1,0,405204,36
27,31768,740,2,1,0,222376,36
34,45115,709,1,1,0,315805,36
42,26420,725,1,0,0,124427,36
31,59588,713,0,1,0,357528,36
37,66092,661,3,1,0,462644,36
54,118902,715,5,1,0,832314,36
35,59946,777,3,1,1,359676,36
52,164194,786,0,1,0,1313552,36
28,33979,660,0,1,0,169895,36
48,148541,718,3,1,0,1188328,36
59,122476,818,2,1,0,857332,36
25,30266,662,0,1,0,181596,36
32,62953,648,1,1,1,377718,36
48,115442,763,1,1,0,808094,36
39,65105,749,3,1,0,455735,36
46,161523,633,5,1,0,969138,36
34,47406,588,3,1,0,237030,36
43,65121,716,3,1,0,390726,36
40,73947,666,1,1,0,369735,36
56,133129,565,1,1,0,665645,36
45,26204,645,2,0,0,126014,36
46,102732,748,1,1,0,719124,36
37,75586,687,2,1,0,453516,36
36,72150,825,2,1,0,577200,36
36,83606,533,1,1,0,418030,36
46,168105,807,5,1,1,1344840,36
36,26889,672,1,0,0,75183,36
45,68383,660,1,1,0,478681,36
66,72610,575,4,1,0,290440,36
52,164218,737,1,1,0,1313744,36
38,66233,553,0,1,0,463631,36
56,115560,765,1,1,0,924480,36
37,65276,578,3,1,1,326380,36
25,34106,591,5,1,0,238742,36
29,12190,604,5,0,1,52123,36
25,20482,642,2,1,0,143374,36
37,65798,775,4,1,0,526384,36
42,68460,820,1,1,0,479220,36
62,95305,650,3,1,0,381220,36
45,74645,696,3,1,0,373225,36
39,84042,739,2,1,0,672336,36
51,103032,673,2,1,0,721224,36
25,25493,736,1,1,0,203944,36
44,74054,699,4,1,0,444324,36
51,28822,679,3,0,0,104206,36
25,24575,586,1,1,0,172025,36
55,175683,711,2,1,0,1229781,36
46,109472,776,1,1,0,875776,36
37,66989,637,1,1,0,334945,36
49,165029,542,0,1,0,825145,36
69,92301,674,2,1,0,461505,36
44,69491,820,1,1,0,486437,36
44,70403,796,1,1,0,563224,36
36,81754,653,0,1,0,572278,36
31,62165,736,1,1,0,435155,36
51,103199,749,0,1,0,619194,36
31,45616,819,3,1,0,364928,36
42,65349,575,2,1,1,326745,36
36,68012,614,0,1,0,340060,36
47,154487,539,1,1,1,772435,36
46,100822,645,2,1,0,604932,36
54,142799,785,2,1,0,856794,36
35,62562,655,2,1,0,437934,36
38,26708,595,5,0,0,112419,36
30,39231,718,3,1,1,235386,36
36,27505,720,3,0,1,77790,36
46,110713,618,5,1,0,774991,36
51,175463,659,1,1,0,1228241,36
30,33997,712,0,1,0,237979,36
52,172669,759,0,1,0,1381352,36
58,115127,648,5,1,0,690762,36
46,153062,636,1,1,1,918372,36
64,92816,853,1,1,0,556896,36
32,52512,678,2,1,0,315072,36
27,32910,719,2,1,0,197460,36
25,25952,751,2,1,0,155712,36
59,108205,557,3,1,0,541025,36
49,101640,698,3,1,0,711480,36
41,26977,568,1,0,0,83141,36
45,69099,689,1,1,0,345495,36
28,21961,809,3,1,0,153727,36
70,99654,620,1,1,0,498270,36
43,75366,566,1,1,0,452196,36
43,79492,851,2,1,0,476952,36
50,173341,608,4,1,0,866705,36
47,105968,580,2,1,0,635808,36
44,69173,829,0,1,0,484211,36
32,46084,605,4,1,0,230420,36
47,117994,831,4,1,1,943952,36
64,71019,721,2,1,0,355095,36
58,108526,802,1,1,0,759682,36
61,10560,714,5,0,1,99020,36
35,49499,786,3,1,0,296994,36
30,14932,626,0,0,0,70093,36
40,80470,650,2,1,1,563290,36
42,77826,530,2,1,1,466956,36
55,146492,777,2,1,0,878952,36
25,32301,733,3,1,1,258408,36
60,70978,619,3,1,0,354890,36
40,65294,560,1,1,0,326470,36
36,75726,722,3,1,0,530082,36
29,37263,834,1,1,0,223578,36
25,33464,688,3,1,1,234248,36
51,28119,647,1,0,0,128970,36
42,69767,625,0,1,0,488369,36
26,10635,799,3,0,1,74788,36
26,22793,637,1,1,1,113965,36
37,67767,670,5,1,0,406602,36
62,98111,783,0,1,0,490555,36
38,68711,750,3,1,0,480977,36
25,32333,673,3,1,0,226331,36
39,75196,644,2,1,0,375980,36
38,65178,817,2,1,0,456246,36
25,24018,610,2,1,0,168126,36
41,77276,683,2,1,0,540932,36
39,66314,579,1,1,1,397884,36
50,103322,795,1,1,0,826576,36
64,71611,662,4,1,1,358055,36
55,28567,644,0,0,0,98160,36
38,67587,752,4,1,0,405522,36
28,31197,585,3,1,0,187182,36
70,72592,750,1,1,0,435552,36
42,65173,671,1,1,0,325865,36
42,79669,603,4,1,0,398345,36
41,83551,620,4,1,0,417755,36
44,66136,645,2,1,0,462952,36
40,68241,664,0,1,0,341205,36
35,17637,604,0,0,0,108992,36
35,61385,723,0,1,0,491080,36
41,68659,602,1,1,0,411954,36
35,57488,510,0,1,0,287440,36
33,50725,853,1,1,0,405800,36
43,26120,715,3,0,0,129980,36
38,84284,860,1,1,0,674272,36
60,71746,616,3,1,1,286984,36
25,13464,738,2,0,0,40309,36
55,142577,771,4,1,0,855462,36
56,100273,684,5,1,0,601638,36
25,32079,584,1,1,0,160395,36
37,83303,678,2,1,0,499818,36
37,78789,750,0,1,0,472734,36
25,10647,747,2,0,0,61055,36
32,53832,699,0,1,0,376824,36
28,12674,771,2,0,0,76633,36
63,72368,768,2,1,0,434208,36
53,116512,658,0,1,0,815584,36
57,109157,578,3,1,0,764099,36
50,161589,715,2,1,0,969534,36
28,32727,640,1,1,0,196362,36
35,45080,711,3,1,0,270480,36
47,106705,807,0,1,0,746935,36
27,23048,734,4,1,0,184384,36
50,29147,803,1,0,0,134968,36
39,65255,619,0,1,0,456785,36
37,65452,786,5,1,1,392712,36
50,148836,834,5,1,0,1041852,36
47,152701,705,2,1,0,1221608,36
37,27048,885,1,0,1,82548,36
55,110442,631,1,1,0,773094,36
29,38320,648,0,1,0,191600,36
49,146697,751,2,1,0,1026879,36
49,164007,704,2,1,0,984042,36
38,76168,640,1,1,1,380840,36
45,65760,749,1,1,0,394560,36
26,34948,728,2,1,0,279584,36
53,118917,653,2,1,0,594585,36
39,70943,715,0,1,0,496601,36
35,46411,760,0,1,0,278466,36
54,143182,651,1,1,0,715910,36
33,51521,741,1,1,1,412168,36
25,28942,630,1,1,0,173652,36
25,30965,646,1,1,1,216755,36
49,111806,788,2,1,0,894448,36
26,21487,749,4,1,0,171896,36
63,93906,549,1,1,0,375624,36
25,20705,670,2,1,1,103525,36
62,74897,739,4,1,0,449382,36
44,66842,711,1,1,0,534736,36
40,69212,749,3,1,0,484484,36
35,58470,709,0,1,0,409290,36
46,179547,689,1,1,0,897735,36
41,68000,686,3,1,0,408000,36
55,165647,787,0,1,0,1325176,36
43,74929,755,1,1,0,524503,36
43,71192,732,5,1,1,427152,36
37,66049,707,2,1,0,396294,36
41,65157,656,1,1,0,390942,36
45,26622,675,3,0,0,108991,36
25,33062,785,2,1,0,264496,36
25,25496,777,3,1,0,203968,36
50,108514,648,4,1,0,542570,36
44,27183,707,1,0,1,136813,36
39,26184,739,2,0,1,93359,36
42,27850,734,1,0,0,107483,36
46,28159,734,1,0,0,101072,36
35,45871,611,1,1,0,321097,36
32,60631,606,3,1,0,424417,36
44,69282,793,5,1,1,554256,36
30,35217,820,2,1,0,246519,36
46,169064,581,3,1,1,1014384,36
25,20620,697,1,1,1,144340,36
54,112453,765,2,1,0,899624,36
47,166770,523,2,1,0,1000620,36
45,83587,614,4,1,0,417935,36
53,144142,692,5,1,0,1008994,36
61,9773,652,2,0,0,69641,36
54,164461,716,4,1,0,986766,36
25,23717,817,2,1,0,142302,36
26,27479,631,0,1,0,137395,36
34,15385,704,1,0,1,84289,36
42,69484,672,4,1,0,416904,36
48,116709,710,2,1,1,933672,36
33,54542,700,2,1,0,381794,36
44,79083,900,3,1,0,553581,36
32,52053,819,5,1,0,312318,36
34,53586,573,1,1,1,321516,36
25,27152,627,0,1,0,190064,36
30,34905,637,0,1,0,209430,36
25,27553,601,2,1,1,137765,36
30,11328,590,1,0,0,99508,36
54,141221,685,4,1,0,847326,36
30,33651,640,1,1,0,235557,36
70,74397,628,0,1,0,297588,36
47,101133,861,2,1,0,707931,36
44,65076,646,2,1,1,390456,36
31,53072,664,0,1,0,371504,36
50,29010,759,5,0,1,87305,36
35,49992,664,5,1,0,299952,36
43,26052,606,1,0,1,96685,36
70,92166,679,3,1,0,368664,36
40,27947,860,3,0,1,97027,36
55,117781,661,2,1,0,588905,36
33,49787,627,3,1,1,248935,36
41,77910,733,1,1,0,545370,36
63,73113,675,1,1,0,365565,36
34,60331,900,1,1,0,422317,36
63,87841,637,4,1,1,439205,36
50,158631,838,1,1,0,1110417,36
