age,income,credit_score,existing_loans,existing_loan_emi,employed,default,loan_amount,loan_tenure_months,emi_to_income_ratio,loan_to_income_ratio,employment_type
32,53693,676,1,7596,1,0,322000,18,0.14,6.0,Entrepreneur
44,27857,630,2,8563,0,1,109000,12,0.31,3.91,Gig Worker
44,66687,704,2,18347,1,0,533000,24,0.28,7.99,Salaried
35,17380,685,0,0,0,0,89000,18,0.0,5.12,Gig Worker
36,76290,674,2,20835,1,0,534000,30,0.27,7.0,Self-Employed
44,27527,849,3,12465,0,0,126000,18,0.45,4.58,Gig Worker
25,24774,609,2,7493,1,0,149000,36,0.3,6.01,Salaried
25,21642,702,1,3336,1,0,151000,12,0.15,6.98,Salaried
33,58223,614,2,18257,1,0,349000,36,0.31,5.99,Salaried
39,66044,656,1,10849,1,0,330000,24,0.16,5.0,Salaried
45,73353,838,2,22078,1,0,513000,12,0.3,6.99,Entrepreneur
59,107257,722,0,0,1,0,644000,36,0.0,6.0,Entrepreneur
52,108650,721,0,0,1,0,761000,36,0.0,7.0,Self-Employed
40,69922,624,4,34961,1,0,420000,12,0.5,6.01,Entrepreneur
41,69537,666,3,33139,1,0,417000,18,0.48,6.0,Salaried
29,10036,845,0,0,0,0,58000,24,0.0,5.78,Gig Worker
41,65019,739,0,0,1,0,455000,30,0.0,7.0,Salaried
38,68837,672,3,29557,1,0,344000,18,0.43,5.0,Salaried
45,65241,735,2,19333,1,0,457000,30,0.3,7.0,Self-Employed
32,52575,721,4,26288,1,0,368000,36,0.5,7.0,Entrepreneur
48,28764,632,4,14382,0,1,92000,18,0.5,3.2,Gig Worker
60,93430,670,1,15311,1,0,374000,36,0.16,4.0,Entrepreneur
40,65272,880,0,0,1,0,457000,18,0.0,7.0,Self-Employed
46,106467,731,3,51130,1,0,745000,18,0.48,7.0,Salaried
50,108280,574,3,50636,1,1,650000,24,0.47,6.0,Self-Employed
37,82723,740,1,12182,1,0,579000,30,0.15,7.0,Self-Employed
44,66445,804,1,9316,1,0,399000,36,0.14,6.0,Entrepreneur
42,67197,627,4,33598,1,1,403000,18,0.5,6.0,Self-Employed
43,82118,663,2,23405,1,0,411000,24,0.29,5.0,Self-Employed
32,61933,816,1,9381,1,0,495000,24,0.15,7.99,Salaried
42,73318,702,1,11470,1,0,440000,36,0.16,6.0,Self-Employed
47,177629,688,1,27498,1,0,888000,24,0.15,5.0,Salaried
59,102966,593,3,44295,1,1,618000,30,0.43,6.0,Self-Employed
53,166963,785,1,27323,1,0,1169000,12,0.16,7.0,Entrepreneur
67,70048,684,2,22014,1,0,280000,18,0.31,4.0,Self-Employed
32,47539,526,2,14417,1,1,238000,18,0.3,5.01,Self-Employed
52,104443,574,1,16017,1,1,731000,12,0.15,7.0,Salaried
44,27332,655,2,8068,0,1,121000,12,0.3,4.43,Gig Worker
68,70932,614,1,10103,1,0,355000,30,0.14,5.0,Self-Employed
32,50268,626,0,0,1,0,251000,24,0.0,4.99,Salaried
31,55881,887,0,0,1,0,391000,18,0.0,7.0,Entrepreneur
34,48111,756,5,24056,1,0,337000,36,0.5,7.0,Entrepreneur
25,28802,493,1,4543,1,0,144000,18,0.16,5.0,Salaried
35,20413,674,0,0,0,0,80000,30,0.0,3.92,Gig Worker
32,54390,692,5,27195,1,0,326000,24,0.5,5.99,Self-Employed
43,69510,581,2,19252,1,0,417000,36,0.28,6.0,Salaried
46,166116,742,2,45310,1,0,997000,36,0.27,6.0,Salaried
64,9529,536,3,3894,0,1,47000,24,0.41,4.93,Retired
53,111059,787,2,35686,1,0,888000,18,0.32,8.0,Entrepreneur
35,52107,815,0,0,1,0,313000,18,0.0,6.01,Salaried
31,57471,888,1,8972,1,1,345000,18,0.16,6.0,Salaried
47,103527,574,2,30898,1,0,518000,24,0.3,5.0,Salaried
26,32595,590,0,0,1,0,196000,24,0.0,6.01,Salaried
63,9360,755,0,0,0,0,92000,30,0.0,9.83,Retired
56,112359,794,0,0,1,0,787000,18,0.0,7.0,Self-Employed
36,66637,764,1,9192,1,0,400000,12,0.14,6.0,Entrepreneur
25,14581,786,2,4367,0,0,63000,24,0.3,4.32,Gig Worker
