age,income,credit_score,existing_loans,existing_loan_emi,employed,default,loan_amount,loan_tenure_months,emi_to_income_ratio,loan_to_income_ratio,employment_type,cibil_risk,dti_risk,age_risk,emp_risk,loan_income_risk,risk_score
34,61604,706,2,17671,1,0,493000,12,0.29,8.0,Self-Employed,0.3233333333333333,1.0,0.2,0.5,0.6531531531531533,0.564972972972973
46,167726,700,2,50747,1,0,1342000,12,0.3,8.0,Salaried,0.3333333333333333,1.0,0.4,0.2,0.6531531531531533,0.527972972972973
60,88864,770,1,12372,1,0,533000,24,0.14,6.0,Self-Employed,0.21666666666666667,0.6485628475973272,0.3,0.5,0.42792792792792794,0.421329901088521
41,80749,699,0,0,1,0,404000,30,0.0,5.0,Salaried,0.335,0.27795321854691013,0.2,0.2,0.3153153153153153,0.27728560193402485
60,74991,789,3,35786,1,0,375000,30,0.48,5.0,Self-Employed,0.185,1.0,0.3,0.5,0.3153153153153153,0.48279729729729737
25,29190,670,1,4006,1,0,204000,36,0.14,6.99,Salaried,0.38333333333333336,0.5522819839366603,0.6,0.2,0.5394144144144145,0.43398265814632725
51,28178,662,0,0,0,0,124000,12,0.0,4.4,Gig Worker,0.39666666666666667,0.6111939180290377,0.4,0.8,0.2477477477477478,0.5089606416694217
43,67132,621,2,22101,1,1,470000,18,0.33,7.0,Entrepreneur,0.465,1.0,0.2,0.4,0.5405405405405406,0.5705810810810812
38,65658,848,3,31155,1,0,460000,18,0.47,7.01,Entrepreneur,0.08666666666666667,1.0,0.2,0.4,0.5416666666666666,0.45725000000000005
43,67875,694,1,9568,1,0,339000,36,0.14,4.99,Salaried,0.3433333333333333,0.4661673828524657,0.2,0.2,0.31418918918918926,0.3266702240914948
25,31852,606,5,15926,1,1,191000,18,0.5,6.0,Salaried,0.49,1.0,0.6,0.2,0.42792792792792794,0.5611891891891891
39,66210,715,1,10558,1,0,463000,24,0.16,6.99,Salaried,0.30833333333333335,0.7513886791186294,0.2,0.2,0.5394144144144145,0.4212593319418195
46,111011,647,0,0,1,0,777000,24,0.0,7.0,Self-Employed,0.4216666666666667,0.48606294271138295,0.4,0.5,0.5405405405405406,0.4690968167589269
59,104928,668,3,49171,1,0,734000,12,0.47,7.0,Government,0.38666666666666666,1.0,0.3,0.1,0.5405405405405406,0.49708108108108107
35,17965,724,0,0,0,0,99000,36,0.0,5.51,Gig Worker,0.29333333333333333,0.25512570739400686,0.2,0.8,0.37274774774774777,0.3876935890106639
32,62153,821,2,19500,1,0,497000,24,0.31,8.0,Salaried,0.13166666666666665,1.0,0.2,0.2,0.6531531531531533,0.44747297297297295
35,50413,708,0,0,1,0,302000,30,0.0,5.99,Salaried,0.32,0.33280657326042445,0.2,0.2,0.42680180180180183,0.3032219135853764
52,119522,643,4,59761,1,0,598000,24,0.5,5.0,Government,0.42833333333333334,1.0,0.4,0.1,0.3153153153153153,0.48579729729729737
45,74462,659,1,10218,1,0,372000,24,0.14,5.0,Salaried,0.40166666666666667,0.5756403713751086,0.4,0.2,0.3153153153153153,0.3917073901410745
35,47411,752,3,20731,1,0,332000,24,0.44,7.0,Salaried,0.24666666666666667,1.0,0.2,0.2,0.5405405405405406,0.46508108108108115
48,118310,543,0,0,1,0,592000,24,0.0,5.0,Self-Employed,0.595,0.34748635881253587,0.4,0.5,0.3153153153153153,0.4526688870004313
43,65754,616,1,9105,1,0,395000,36,0.14,6.01,Salaried,0.47333333333333333,0.5088973604197014,0.2,0.2,0.42905405405405406,0.39358244821303345
53,106793,717,2,34365,1,0,641000,18,0.32,6.0,Salaried,0.305,1.0,0.4,0.2,0.42792792792792794,0.48568918918918924
33,56198,563,2,17275,1,1,393000,24,0.31,6.99,Entrepreneur,0.5616666666666666,0.9979595952406373,0.2,0.4,0.5394144144144145,0.5989020609723215
38,66052,674,2,19145,1,0,462000,30,0.29,6.99,Salaried,0.37666666666666665,0.8716617210682492,0.2,0.2,0.5394144144144145,0.47182759242922445
37,69862,661,0,0,1,0,419000,30,0.0,6.0,Salaried,0.3983333333333333,0.33319655574958884,0.2,0.2,0.42792792792792794,0.3269883281265864
25,14191,770,1,1943,0,0,68000,24,0.14,4.79,Gig Worker,0.21666666666666667,0.5609580406987215,0.6,0.8,0.2916666666666667,0.46898951017468044
45,65197,679,4,32598,1,0,326000,30,0.5,5.0,Salaried,0.36833333333333335,1.0,0.4,0.2,0.3153153153153153,0.48779729729729737
45,67874,794,1,9825,1,0,543000,12,0.14,8.0,Salaried,0.17666666666666667,1.0,0.4,0.2,0.6531531531531533,0.48097297297297303
42,70134,706,2,22006,1,0,421000,24,0.31,6.0,Self-Employed,0.3233333333333333,0.9398120423443378,0.2,0.5,0.42792792792792794,0.5161421997752736
39,68512,842,5,34256,1,0,480000,30,0.5,7.01,Self-Employed,0.09666666666666666,1.0,0.2,0.5,0.5416666666666666,0.48025000000000007
25,21313,589,2,6889,1,1,149000,12,0.32,6.99,Salaried,0.5183333333333333,1.0,0.6,0.2,0.5394144144144145,0.5864121621621621
36,67646,829,5,33823,1,0,541000,30,0.5,8.0,Salaried,0.11833333333333333,1.0,0.2,0.2,0.6531531531531533,0.44347297297297295
37,66710,667,4,33355,1,0,334000,18,0.5,5.01,Salaried,0.3883333333333333,1.0,0.2,0.2,0.31644144144144143,0.47396621621621626
32,16416,817,3,7702,0,0,73000,36,0.47,4.45,Gig Worker,0.13833333333333334,0.9878348133708758,0.2,0.8,0.2533783783783784,0.5064654600994757
40,76496,794,2,24146,1,0,612000,36,0.32,8.0,Entrepreneur,0.17666666666666667,0.8964738897022938,0.2,0.4,0.6531531531531533,0.4750914453985465
46,29031,471,1,4408,0,0,79000,24,0.15,2.72,Gig Worker,0.715,0.44203705617366873,0.4,0.8,0.058558558558558564,0.533793047827201
64,13086,738,1,2069,0,1,98000,12,0.16,7.49,Retired,0.27,1.0,0.7,0.6,0.5957207207207208,0.6103581081081081
44,82899,779,3,37258,1,0,663000,18,0.45,8.0,Government,0.20166666666666666,1.0,0.2,0.1,0.6531531531531533,0.448472972972973
45,67599,806,3,30558,1,0,541000,18,0.45,8.0,Entrepreneur,0.15666666666666668,1.0,0.4,0.4,0.6531531531531533,0.514972972972973
41,65701,605,1,9712,1,0,329000,24,0.15,5.01,Entrepreneur,0.49166666666666664,0.5941140757201396,0.2,0.4,0.31644144144144143,0.44349473514625115
25,34358,747,4,17179,1,0,206000,12,0.5,6.0,Salaried,0.255,1.0,0.6,0.2,0.42792792792792794,0.4906891891891892
41,72009,715,2,19909,1,0,432000,12,0.28,6.0,Self-Employed,0.30833333333333335,1.0,0.2,0.5,0.42792792792792794,0.5266891891891893
42,67079,734,5,33540,1,0,537000,30,0.5,8.01,Self-Employed,0.27666666666666667,1.0,0.2,0.5,0.6542792792792793,0.5511418918918919
70,73513,779,5,36756,1,0,368000,24,0.5,5.01,Entrepreneur,0.20166666666666666,1.0,0.3,0.4,0.31644144144144143,0.46796621621621626
39,71455,792,1,10320,1,0,429000,30,0.14,6.0,Salaried,0.18,0.574254192615399,0.2,0.2,0.42792792792792794,0.321752737343039
45,27814,647,2,8359,0,1,107000,18,0.3,3.85,Gig Worker,0.4216666666666667,0.8570890225812208,0.4,0.8,0.18581081081081083,0.5686438772669269
41,27447,721,1,4453,0,0,148000,36,0.16,5.39,Gig Worker,0.29833333333333334,0.5200392945866039,0.2,0.8,0.35923423423423423,0.45339495878178615
27,27328,703,2,7787,1,0,191000,30,0.28,6.99,Salaried,0.3283333333333333,0.863196883944835,0.6,0.2,0.5394144144144145,0.49521138314837093
55,28857,680,2,8502,0,1,107000,12,0.29,3.71,Gig Worker,0.36666666666666664,1.0,0.7,0.8,0.17004504504504503,0.6155067567567567
51,100765,688,0,0,1,0,705000,18,0.0,7.0,Salaried,0.35333333333333333,0.6478219399372578,0.4,0.2,0.5405405405405406,0.42903656606539553
51,106879,715,2,33702,1,0,748000,12,0.32,7.0,Government,0.30833333333333335,1.0,0.4,0.1,0.5405405405405406,0.4835810810810811
31,52412,651,0,0,1,0,367000,36,0.0,7.0,Salaried,0.415,0.32417653859308443,0.2,0.2,0.5405405405405406,0.34662521572935223
58,122838,770,5,61419,1,0,737000,18,0.5,6.0,Self-Employed,0.21666666666666667,1.0,0.3,0.5,0.42792792792792794,0.5091891891891892
25,24242,801,2,6657,1,0,145000,12,0.27,5.98,Self-Employed,0.165,1.0,0.6,0.5,0.42567567567567577,0.5233513513513512
49,173316,634,0,0,1,0,1040000,36,0.0,6.0,Salaried,0.44333333333333336,0.27780555833361115,0.4,0.2,0.42792792792792794,0.346640578772592
68,96359,805,1,13846,1,0,482000,24,0.14,5.0,Entrepreneur,0.15833333333333333,0.5868563277834855,0.3,0.4,0.3153153153153153,0.35151137924316866
30,33615,634,3,14102,1,0,168000,36,0.42,5.0,Salaried,0.44333333333333336,0.9305700166922837,0.2,0.2,0.3153153153153153,0.4729398014703683
35,19492,771,3,9525,0,0,76000,18,0.49,3.9,Gig Worker,0.215,1.0,0.2,0.8,0.19144144144144143,0.5232162162162163
43,26828,805,2,8544,0,0,124000,12,0.32,4.62,Gig Worker,0.15833333333333333,1.0,0.2,0.8,0.27252252252252257,0.5183783783783784
35,57055,692,3,26360,1,0,285000,24,0.46,5.0,Entrepreneur,0.3466666666666667,1.0,0.2,0.4,0.3153153153153153,0.5012972972972973
25,27715,635,3,13398,1,1,139000,18,0.48,5.02,Self-Employed,0.44166666666666665,1.0,0.6,0.5,0.31756756756756754,0.5901351351351352
42,79430,652,1,12638,1,0,477000,18,0.16,6.01,Salaried,0.41333333333333333,0.8212262369381845,0.2,0.2,0.42905405405405406,0.4536646673426542
29,35724,728,0,0,1,0,250000,36,0.0,7.0,Salaried,0.2866666666666667,0.32398594989570245,0.6,0.2,0.5405405405405406,0.3480775685550067
47,112537,857,2,31645,1,0,675000,18,0.28,6.0,Government,0.07166666666666667,1.0,0.4,0.1,0.42792792792792794,0.39568918918918927
30,37331,564,3,18118,1,0,224000,30,0.49,6.0,Salaried,0.56,1.0,0.2,0.2,0.42792792792792794,0.5421891891891892
60,13841,708,0,0,0,0,78000,18,0.0,5.64,Retired,0.32,0.5217991635158025,0.7,0.6,0.38738738738738737,0.47455789898705875
32,52802,692,3,23948,1,0,370000,18,0.45,7.01,Self-Employed,0.3466666666666667,1.0,0.2,0.5,0.5416666666666666,0.55525
38,67702,663,1,10780,1,0,339000,12,0.16,5.01,Salaried,0.395,0.9608283359428083,0.2,0.2,0.31644144144144143,0.4661733002019183
51,114377,693,2,37031,1,0,572000,24,0.32,5.0,Entrepreneur,0.345,0.886896452569621,0.4,0.4,0.3153153153153153,0.49252141043970254
27,31389,656,0,0,1,1,188000,18,0.0,5.99,Salaried,0.4066666666666667,0.5545703083056934,0.6,0.2,0.42680180180180183,0.42466284734669363
44,65180,799,2,18842,1,0,391000,12,0.29,6.0,Salaried,0.16833333333333333,1.0,0.2,0.2,0.42792792792792794,0.4246891891891892
57,108845,807,3,45160,1,0,762000,30,0.41,7.0,Salaried,0.155,1.0,0.3,0.2,0.5405405405405406,0.4475810810810811
25,23927,707,2,6788,1,0,167000,30,0.28,6.98,Salaried,0.32166666666666666,0.8605805621729057,0.6,0.2,0.5382882882882883,0.4923883837864697
44,70128,688,0,0,1,0,351000,18,0.0,5.01,Entrepreneur,0.35333333333333333,0.4634382842801734,0.2,0.4,0.31644144144144143,0.3693257872862596
45,65750,660,1,9719,1,0,329000,30,0.15,5.0,Entrepreneur,0.4,0.524351499788762,0.4,0.4,0.3153153153153153,0.4183851722444879
51,161924,707,2,51667,1,0,1133000,18,0.32,7.0,Entrepreneur,0.32166666666666666,1.0,0.4,0.4,0.5405405405405406,0.5475810810810811
27,26866,847,0,0,1,0,215000,24,0.0,8.0,Salaried,0.08833333333333333,0.5557416643920031,0.6,0.2,0.6531531531531533,0.3634083890709738
26,23018,691,3,11105,1,0,161000,12,0.48,6.99,Salaried,0.34833333333333333,1.0,0.6,0.2,0.5394144144144145,0.5354121621621621
48,29199,632,0,0,0,0,83000,18,0.0,2.84,Gig Worker,0.44666666666666666,0.26320028717371097,0.4,0.8,0.07207207207207204,0.4106108826042386
45,68498,668,1,9262,1,0,479000,24,0.14,6.99,Entrepreneur,0.38666666666666666,0.71097777388472,0.4,0.4,0.5394144144144145,0.49465660563334224
45,78809,760,3,35540,1,0,473000,24,0.45,6.0,Entrepreneur,0.23333333333333334,1.0,0.4,0.4,0.42792792792792794,0.5041891891891892
46,177411,642,2,52344,1,0,1064000,30,0.3,6.0,Salaried,0.43,0.824926927367024,0.4,0.2,0.42792792792792794,0.47942092103094525
33,47544,697,1,6735,1,0,238000,30,0.14,5.01,Salaried,0.3383333333333333,0.514202049096042,0.2,0.2,0.31644144144144143,0.33751672849022674
44,80741,737,1,11190,1,0,646000,24,0.14,8.0,Salaried,0.27166666666666667,0.7866029787977746,0.2,0.2,0.6531531531531533,0.43612371767241664
45,84225,648,0,0,1,1,590000,24,0.0,7.01,Entrepreneur,0.42,0.48646152831371,0.4,0.4,0.5416666666666666,0.4488653820784275
33,52601,558,3,22902,1,1,316000,30,0.44,6.01,Self-Employed,0.57,1.0,0.2,0.5,0.42905405405405406,0.6053581081081081
64,91583,614,2,29909,1,0,458000,24,0.33,5.0,Self-Employed,0.4766666666666667,0.891583469518239,0.3,0.5,0.3153153153153153,0.5431931646768571
47,115863,631,1,16765,1,0,811000,30,0.14,7.0,Government,0.4483333333333333,0.6300304861968206,0.4,0.1,0.5405405405405406,0.4330887026302862
27,25023,681,3,11303,1,0,125000,30,0.45,5.0,Salaried,0.365,1.0,0.6,0.2,0.3153153153153153,0.5067972972972974
49,150392,703,1,23475,1,0,902000,12,0.16,6.0,Salaried,0.3283333333333333,1.0,0.4,0.2,0.42792792792792794,0.49268918918918925
30,36691,765,1,5354,1,0,294000,36,0.15,8.01,Self-Employed,0.225,0.6141681732426058,0.2,0.5,0.6542792792792793,0.4391839352025434
51,142340,601,2,46731,1,0,854000,24,0.33,6.0,Government,0.49833333333333335,0.963822927887843,0.4,0.1,0.42792792792792794,0.5146449211611499
55,107895,754,5,53948,1,0,647000,24,0.5,6.0,Salaried,0.24333333333333335,1.0,0.3,0.2,0.42792792792792794,0.45718918918918927
32,46889,670,1,6684,1,0,234000,18,0.14,4.99,Salaried,0.38333333333333336,0.6996665884677998,0.2,0.2,0.31418918918918926,0.3970450254953284
53,111769,557,2,33512,1,1,782000,30,0.3,7.0,Entrepreneur,0.5716666666666667,0.8884196671508003,0.4,0.4,0.5405405405405406,0.5946859978687812
46,156380,701,4,78190,1,0,1251000,12,0.5,8.0,Salaried,0.33166666666666667,1.0,0.4,0.2,0.6531531531531533,0.527472972972973
51,146210,805,3,62963,1,0,1170000,24,0.43,8.0,Salaried,0.15833333333333333,1.0,0.4,0.2,0.6531531531531533,0.475472972972973
64,70825,770,3,28919,1,0,425000,12,0.41,6.0,Self-Employed,0.21666666666666667,1.0,0.3,0.5,0.42792792792792794,0.5091891891891892
39,73089,693,0,0,1,0,365000,36,0.0,4.99,Self-Employed,0.345,0.23119960798681266,0.2,0.5,0.31418918918918926,0.32842828037508154
32,60945,790,3,28026,1,0,366000,12,0.46,6.01,Salaried,0.18333333333333332,1.0,0.2,0.2,0.42905405405405406,0.42935810810810815
31,57777,715,0,0,1,0,347000,18,0.0,6.01,Salaried,0.30833333333333335,0.556097229513987,0.2,0.2,0.42905405405405406,0.35588241548660493
32,46138,778,1,6924,1,0,323000,24,0.15,7.0,Salaried,0.20333333333333334,0.7362814936832017,0.2,0.2,0.5405405405405406,0.3861514545018816
41,27886,567,2,7615,0,1,120000,18,0.27,4.3,Gig Worker,0.555,0.8535744738498809,0.2,0.8,0.23648648648648649,0.5953665914354433
46,28872,600,3,12417,0,1,121000,12,0.43,4.19,Gig Worker,0.5,1.0,0.4,0.8,0.22409909909909914,0.633614864864865
45,67468,758,3,32840,1,0,472000,24,0.49,7.0,Salaried,0.23666666666666666,1.0,0.4,0.2,0.5405405405405406,0.48208108108108116
51,141108,823,1,20064,1,0,847000,18,0.14,6.0,Salaried,0.12833333333333333,0.7927681345205512,0.4,0.2,0.42792792792792794,0.380881222819327
42,72617,733,2,20238,1,0,581000,18,0.28,8.0,Salaried,0.2783333333333333,1.0,0.2,0.2,0.6531531531531533,0.491472972972973
59,132039,660,5,66020,1,0,792000,12,0.5,6.0,Salaried,0.4,1.0,0.3,0.2,0.42792792792792794,0.5041891891891892
38,68547,631,0,0,1,0,343000,12,0.0,5.0,Salaried,0.4483333333333333,0.6949813834141376,0.2,0.2,0.3153153153153153,0.41554264315083167
70,72638,674,1,11954,1,0,291000,36,0.16,4.01,Self-Employed,0.37666666666666665,0.45975323598606177,0.3,0.5,0.2038288288288288,0.38851263332083974
49,162677,797,0,0,1,0,1139000,36,0.0,7.0,Government,0.17166666666666666,0.3241483521424755,0.4,0.1,0.5405405405405406,0.2736181691167
31,46697,672,5,23348,1,0,280000,36,0.5,6.0,Salaried,0.38,1.0,0.2,0.2,0.42792792792792794,0.4881891891891892
29,36449,783,2,11311,1,0,255000,18,0.31,7.0,Self-Employed,0.195,1.0,0.6,0.5,0.5405405405405406,0.5495810810810811
47,179905,752,2,56796,1,0,1259000,30,0.32,7.0,Self-Employed,0.24666666666666667,0.9149520271501316,0.4,0.5,0.5405405405405406,0.523819087868614
